ID,Section,File,Field,English,Translation_rule,de,fr,es,pt,ru,zh,ar,de_status,other_langs_status
61,Pathway card 7,Index.tsx,title,Quantitative Healthcare Market Research Guide,Auto-expanded acronyms/loanwords — native review required,Leitfaden quantitative Gesundheitsmarktforschung,Guide recherche quantitative santé,Guía de investigación cuantitativa sanitaria,Guia de pesquisa quantitativa em saúde,Гид по количественным исследованиям здравоохранения,定量医疗健康市场研究指南,دليل الأبحاث الكمية للسوق الصحي,carry-forward-review,needs-review
62,Pathway card 7,Index.tsx,label,Featured Guide,Auto-expanded acronyms/loanwords — native review required,Empfohlener Leitfaden,Guide à la une,Guía destacada,Guia em destaque,Рекомендуемый гид,精选指南,دليل مميز,carry-forward-review,needs-review
63,Pathway card 7,Index.tsx,description,"Execution-ready 2026 guide for survey architecture, tracker governance, and AI-assisted validation in Saudi Arabia and UAE.",Auto-expanded acronyms/loanwords — native review required,"Umsetzungsfertiger 2026-Leitfaden für Umfragearchitektur, Laufende-Studien-Governance und KI-gestützte Validierung in Saudi-Arabien und den Vereinigte Arabische Emirate.","Guide 2026 prêt à l'exécution : architecture d'enquêtes, gouvernance des trackers et validation assistée par IA en Arabie saoudite et EAU.","Guía 2026 lista para ejecución: arquitectura de encuestas, gobernanza de trackers y validación asistida por IA en Arabia Saudí y EAU.","Guia 2026 pronto para execução: arquitetura de pesquisas, governança de trackers e validação assistida por IA na Arábia Saudita e EAU.","Готовый к исполнению гид 2026: архитектура опросов, управление трекерами и AI-валидация в Саудовская Аравия и ОАЭ.",二〇二六年可执行指南 — 沙特与阿联酋的问卷架构、追踪治理与 AI 辅助验证。,دليل ٢٠٢٦ جاهز للتنفيذ: هندسة الاستبيانات وحوكمة المتتبعات والتحقق المدعوم بالذكاء الاصطناعي في السعودية والإمارات.,auto-revised,needs-review
64,Pathway card 7,Index.tsx,hint,Best for quantitative design decisions,Auto-expanded acronyms/loanwords — native review required,Ideal für quantitative Design-Entscheidungen,Idéal pour décisions de design quantitatif,Ideal para decisiones de diseño cuantitativo,Ideal para decisões de design quantitativo,Лучше для решений по количественному дизайну,最适合定量设计决策,الأفضل لقرارات التصميم الكمي,carry-forward-review,needs-review
65,Pathway card 8,Index.tsx,title,All Industries,Auto-expanded acronyms/loanwords — native review required,Alle Branchen,Tous les secteurs,Todas las industrias,Todos os setores,Все отрасли,全部行业,جميع القطاعات,carry-forward-review,needs-review
66,Pathway card 8,Index.tsx,label,Cross-Industry,Auto-expanded acronyms/loanwords — native review required,Branchenübergreifend,Multi-secteur,Multisectorial,Multissetorial,Межотраслевой,跨行业,عبر القطاعات,carry-forward-review,needs-review
67,Pathway card 8,Index.tsx,description,"Explore pharma and healthcare, B2B, and B2C market research — the same rigor behind 127+ projects across 16 industry verticals.",Auto-expanded acronyms/loanwords — native review required,"Entdecken Sie Pharmaindustrie-, Geschäftskunden- und Privatkunden-Marktforschung — dieselbe Qualität hinter 127+ Projekten in 16 Branchen.","Explorez la recherche industrie pharmaceutique, entreprises et consommateurs — la même rigueur derrière 127+ projets dans 16 verticales.","Explore investigación farmacéutico, empresarial y consumo — el mismo rigor en 127+ proyectos y 16 verticales.","Explore pesquisa farmacêutica, corporativo e consumo — o mesmo rigor em 127+ projetos e 16 verticais.","Исследования фармы, корпоратив и потребитель — та же строгость в 127+ проектах и 16 отраслях.",探索医药健康、企业 与 消费者 市场研究 — 一百二十七+项目、十六个行业垂直领域的同等严谨标准。,استكشف أبحاث الأدوية و الشركات و المستهلكين — نفس الصرامة في ١٢٧+ مشروعاً عبر ١٦ قطاعاً.,auto-revised,needs-review
68,Pathway card 8,Index.tsx,hint,Explore the industries hub,Auto-expanded acronyms/loanwords — native review required,Branchen-Übersichtsbereich entdecken,Explorer le hub secteurs,Explorar el hub de industrias,Explorar o hub de setores,Изучить отраслевой хаб,探索行业枢纽,استكشف مركز القطاعات,auto-revised,needs-review
69,Pathway card 9,Index.tsx,title,Global Websites Directory,Auto-expanded acronyms/loanwords — native review required,Verzeichnis globaler Websites,Annuaire de sites mondiaux,Directorio de sitios globales,Diretório de sites globais,Каталог глобальных сайтов,全球网站目录,دليل المواقع العالمية,carry-forward-review,needs-review
70,Pathway card 9,Index.tsx,label,Country-Level Depth,Auto-expanded acronyms/loanwords — native review required,Länder-Tiefe,Profondeur pays,Profundidad por país,Profundidade por país,Глубина на уровне страны,国家级深度,عمق على مستوى الدولة,carry-forward-review,needs-review
71,Pathway card 9,Index.tsx,description,Discover market research pages by country and region to support pharmaceutical and enterprise strategy worldwide.,Auto-expanded acronyms/loanwords — native review required,Marktforschungsseiten nach Land und Region — für Pharmaindustrie- und Unternehmensstrategie weltweit.,Découvrez les pages d'études par pays et région pour stratégies industrie pharmaceutique et entreprise dans le monde.,Descubra páginas de investigación por país y región para estrategia farmacéutica y empresarial global.,Descubra páginas de pesquisa por país e região para estratégia farmacêutica e empresarial global.,Страницы исследований по странам и регионам для фарма- и корпоративной стратегии по всему миру.,按国家与地区浏览市场研究页面，支持全球制药与企业战略。,اكتشف صفحات أبحاث السوق حسب الدولة والمنطقة لدعم الاستراتيجية الدوائية والمؤسسية عالمياً.,auto-revised,needs-review
72,Pathway card 9,Index.tsx,hint,Best for multi-country planning,Auto-expanded acronyms/loanwords — native review required,Ideal für Mehrländer-Planung,Idéal pour planification multi-pays,Ideal para planificación multipaís,Ideal para planejamento multirregional,Лучше для мульти-странового планирования,最适合多国规划,الأفضل للتخطيط متعدد الدول,auto-revised,needs-review
73,Visual briefing,mediaAssets.ts,heading,How BioNixus turns field evidence into launch decisions,Auto-expanded acronyms/loanwords — native review required,Wie BioNixus Felddaten in Markteinführung-Entscheidungen überführt,Comment BioNixus transforme les preuves terrain en décisions de lancement,Cómo BioNixus convierte evidencia de campo en decisiones de lanzamiento,Como a BioNixus transforma evidências de campo em decisões de lançamento,Как BioNixus превращает полевые данные в решения по запуску,BioNixus 如何将现场证据转化为上市决策,كيف تحوّل بيونكسس أدلة الميدان إلى قرارات إطلاق,auto-revised,needs-review
74,Visual briefing,mediaAssets.ts,image1_alt,Healthcare market research workshop with GCC commercial and market access leaders reviewing pharmaceutical evidence,Auto-expanded acronyms/loanwords — native review required,Gesundheitswesen-Marktforschungs-Workshop mit Golf-Kooperationsrat-Commercial- und Marktzugang-Führungskräften,Atelier d'études santé avec leaders commerciaux et accès marché CCG,Taller de investigación sanitaria con líderes comerciales y de acceso Consejo de Cooperación del Golfo del sector farmacéutico,Workshop de pesquisa em saúde com líderes comerciais e de acesso Conselho de Cooperação do Golfo,Воркшоп по исследованиям здравоохранения с коммерческими и access-лидерами Совет сотрудничества стран Залива,海湾合作委员会 商业与市场准入负责人审阅制药证据的医疗健康研究工作坊,ورشة أبحاث سوق صحي مع قادة تجاريين ووصول للسوق في الخليج يراجعون أدلة دوائية,auto-revised,needs-review
75,Visual briefing,mediaAssets.ts,image1_caption,Converting pharmaceutical data and evidence into launch and access actions.,Auto-expanded acronyms/loanwords — native review required,Pharmaindustrie-Daten und Evidenz in Markteinführung- und Marktzugang-Maßnahmen überführen.,Transformer données et preuves industrie pharmaceutique en actions de lancement et d'accès.,Convertir datos y evidencia farmacéutica en acciones de lanzamiento y acceso.,Converter dados e evidências farmacêuticas em ações de lançamento e acesso.,Преобразование фармданных и доказательств в действия по запуску и доступу.,将制药数据与证据转化为上市与准入行动。,تحويل البيانات والأدلة الدوائية إلى إجراءات إطلاق ووصول.,auto-revised,needs-review
76,Visual briefing,mediaAssets.ts,image2_alt,Pharmaceutical data validation workflow combining quantitative analytics and AI-assisted quality review,Auto-expanded acronyms/loanwords — native review required,Pharmaindustrie-Datenvalidierung mit quantitativer Analytik und KI-gestützter Qualitätsprüfung,Workflow de validation de données industrie pharmaceutique avec analytique quantitative et contrôle qualité assisté par IA,Flujo de validación de datos farmacéuticos con analítica cuantitativa y revisión de calidad asistida por IA,Fluxo de validação de dados farmacêuticos com analítica quantitativa e revisão de qualidade assistida por IA,Процесс валидации фармданных с количественной аналитикой и AI-контролем качества,结合定量分析与 AI 辅助质量审查的制药数据验证流程,سير عمل التحقق من البيانات الدوائية مع التحليلات الكمية ومراجعة الجودة بالذكاء الاصطناعي,auto-revised,needs-review
77,Visual briefing,mediaAssets.ts,image2_caption,Human validation operations with governed AI-assisted quality controls for healthcare datasets.,Auto-expanded acronyms/loanwords — native review required,Menschliche Validierung mit geregelten KI-gestützten Qualitätskontrollen für Gesundheitswesen-Datensätze.,Validation humaine avec contrôles qualité IA gouvernés pour jeux de données santé.,Validación humana con controles de calidad IA gobernados para datos sanitarios.,Validação humana com controles de qualidade IA governados para dados de saúde.,Человеческая валидация с управляемым AI-контролем качества медицинских данных.,对健康数据集进行人工验证，并配合受治理的 AI 辅助质量控制。,عمليات تحقق بشرية مع ضوابط جودة بالذكاء الاصطناعي لمجموعات بيانات الرعاية الصحية.,auto-revised,needs-review
78,Overview video,mediaAssets.ts,title,BioNixus healthcare market research overview,Auto-expanded acronyms/loanwords — native review required,BioNixus Gesundheitsmarktforschung — Überblick,Vue d'ensemble des études de marché santé BioNixus,Resumen de investigación de mercado sanitario BioNixus,Visão geral da pesquisa de mercado em saúde BioNixus,Обзор исследований рынка здравоохранения BioNixus,BioNixus 医疗健康市场研究概览,نظرة عامة على أبحاث السوق الصحي بيونكسس,carry-forward-review,needs-review
79,Overview video,mediaAssets.ts,description,"A short overview of how BioNixus designs quantitative, qualitative, and access programs for pharmaceutical teams in global markets including the Americas, Europe, and the Middle East.",Auto-expanded acronyms/loanwords — native review required,"Kurzer Überblick, wie BioNixus quantitative, qualitative und Marktzugang-Programme für Pharmaindustrie-Teams in Amerika, Europa und Nahem Osten gestaltet.","Brève présentation de la conception de programmes quantitatifs, qualitatifs et d'accès pour équipes industrie pharmaceutique en Amériques, Europe et Moyen-Orient.","Breve resumen de cómo BioNixus diseña programas cuantitativos, cualitativos y de acceso para equipos farmacéuticos en Américas, Europa y Oriente Medio.","Breve visão de como a BioNixus projeta programas quantitativos, qualitativos e de acesso para equipes farmacêuticas nas Américas, Europa e Oriente Médio.","Краткий обзор того, как BioNixus проектирует количественные, качественные и access-программы для фармкоманд в Америке, Европе и на Ближнем Востоке.",简要介绍 BioNixus 如何为美洲、欧洲与中东的制药团队设计定量、定性与准入项目。,نظرة قصيرة على كيفية تصميم بيونكسس برامج كمية ونوعية ووصول للفرق الدوائية في الأمريكتين وأوروبا والشرق الأوسط.,auto-revised,needs-review
80,Overview video,mediaAssets.ts,transcript,"BioNixus supports pharmaceutical and healthcare teams with market research built for real decisions — launch readiness, market access, payer evidence, and competitive intelligence. Programs combine senior-led design, bilingual Arabic–English fieldwork, and audit-ready governance across global markets including the Americas, Europe, and the Middle East.",Auto-expanded acronyms/loanwords — native review required,"BioNixus unterstützt Pharmaindustrie- und Gesundheitswesen-Teams mit Marktforschung für echte Entscheidungen — Markteinführung-Readiness, Marktzugang, Payör-Evidenz und Wettbewerbsintelligence. Programme verbinden erfahrene geführte Konzeption, zweisprachige arabisch-englische Feldarbeit und auditfähige Governance in Amerika, Europa und Nahem Osten.","BioNixus accompagne les équipes industrie pharmaceutique et santé avec des études conçues pour de vraies décisions — préparation au lancement, accès marché, preuves payeurs et veille concurrentielle. Programmes combinant design senior, terrain bilingue arabe-anglais et gouvernance audit-ready en Amériques, Europe et Moyen-Orient.","BioNixus apoya a equipos farmacéuticos y sanitarios con investigación para decisiones reales — preparación de lanzamiento, acceso, evidencia de pagadores e inteligencia competitiva. Programas con diseño senior, campo bilingüe árabe-inglés y gobernanza lista para auditoría en Américas, Europa y Oriente Medio.","A BioNixus apoia equipes farmacêuticas e de saúde com pesquisa para decisões reais — prontidão de lançamento, acesso, evidências de pagadores e inteligência competitiva. Programas com design sênior, campo bilíngue árabe-inglês e governança pronta para auditoria nas Américas, Europa e Oriente Médio.","BioNixus поддерживает фарма- и медицинские команды исследованиями для реальных решений — готовность к запуску, доступ, доказательства для плательщиков и конкурентная разведка. Программы с экспертным дизайном, двуязычным полем арабский–английский и audit-ready управлением в Америке, Европе и на Ближнем Востоке.",BioNixus 为制药与健康团队提供面向真实决策的市场研究 — 上市准备、市场准入、支付方证据与竞争情报。项目结合资深设计、阿英双语现场工作与可审计治理，覆盖美洲、欧洲与中东。,تدعم بيونكسس الفرق الدوائية والصحية بأبحاث سوق مبنية لقرارات حقيقية — جاهزية الإطلاق والوصول وأدلة الدافعين والذكاء التنافسي. تجمع البرامج تصميماً بقيادة كبار الخبراء وميداناً ثنائي اللغة عربي–إنجليزي وحوكمة جاهزة للتدقيق.,auto-revised,needs-review
81,Overview video,mediaAssets.ts,fallback_label,Browse anonymized case studies,Auto-expanded acronyms/loanwords — native review required,Anonymisierte Fallstudien ansehen,Parcourir des études de cas anonymisées,Ver casos de estudio anonimizados,Ver casos de estudo anonimizados,Просмотреть анонимизированные кейсы,浏览匿名案例研究,تصفح دراسات حالة مجهولة,carry-forward-review,needs-review
82,CTA band,CTASection.tsx,headline,Get a custom healthcare market research proposal,Auto-expanded acronyms/loanwords — native review required,Individuelles Gesundheitsmarktforschungs-Angebot anfordern,Demander une proposition d'études de marché santé sur mesure,Solicitar una propuesta a medida de investigación sanitaria,Solicitar proposta personalizada de pesquisa em saúde,Запросить индивидуальное предложение по исследованиям здравоохранения,获取定制医疗健康市场研究方案,اطلب عرضاً مخصصاً لأبحاث السوق الصحي,carry-forward-review,needs-review
83,CTA band,CTASection.tsx,body,"Our team supports pharmaceutical companies with decision-ready insights across the Americas, Europe, and the Middle East using quantitative and qualitative methodologies.",Auto-expanded acronyms/loanwords — native review required,"Unser Team liefert Pharmaindustrieunternehmen entscheidungsreife Erkenntnisse in Amerika, Europa und Nahem Osten — quantitativ und qualitativ.","Notre équipe accompagne les laboratoires avec des insights prêts à la décision en Amériques, Europe et Moyen-Orient, via méthodes quantitatives et qualitatives.","Nuestro equipo apoya a laboratorios con insights listos para decisiones en Américas, Europa y Oriente Medio, con metodologías cuantitativas y cualitativas.","Nossa equipe apoia empresas farmacêuticas com insights prontos para decisão nas Américas, Europa e Oriente Médio, com metodologias quantitativas e qualitativas.","Наша команда поддерживает фармкомпании готовыми к решениям инсайтами в Америке, Европе и на Ближнем Востоке — количественными и качественными методами.",我们的团队以定量与定性方法，在美洲、欧洲与中东为制药企业提供可决策洞察。,يدعم فريقنا شركات الأدوية برؤى جاهزة للقرار عبر الأمريكتين وأوروبا والشرق الأوسط بمنهجيات كمية ونوعية.,auto-revised,needs-review
84,CTA band,CTASection.tsx,button,Request a proposal,Auto-expanded acronyms/loanwords — native review required,Angebot anfordern,Demander une proposition,Solicitar propuesta,Solicitar proposta,Запросить предложение,索取方案,طلب عرض,carry-forward-review,needs-review
85,CTA band,CTASection.tsx,button,Email us,Auto-expanded acronyms/loanwords — native review required,E-Mail senden,Nous écrire,Enviar correo,Enviar e-mail,Написать нам,发送邮件,راسلنا,carry-forward-review,needs-review
86,CTA band,CTASection.tsx,mailto_subject,Healthcare Market Research Inquiry,Auto-expanded acronyms/loanwords — native review required,Anfrage Gesundheitsmarktforschung,Demande études de marché santé,Consulta investigación de mercado sanitario,Consulta pesquisa de mercado em saúde,Запрос исследований здравоохранения,医疗健康市场研究咨询,استفسار أبحاث السوق الصحي,carry-forward-review,needs-review
87,CTA band,constants.ts,phone_label,US No.,Auto-expanded acronyms/loanwords — native review required,US-Nr.,N° US,N.º EE. UU.,N.º EUA,США,美国电话,رقم أمريكي,carry-forward-review,needs-review
88,CTA band,constants.ts,phone_label,Europe No.,Auto-expanded acronyms/loanwords — native review required,Europa-Nr.,N° Europe,N.º Europa,N.º Europa,Европа,欧洲电话,رقم أوروبي,carry-forward-review,needs-review
89,CTA band,constants.ts,phone_label,"Middle East, Africa and Asia No.",Auto-expanded acronyms/loanwords — native review required,"Naher Osten, Afrika & Asien","Moyen-Orient, Afrique et Asie","Oriente Medio, África y Asia","Oriente Médio, África e Ásia","Ближний Восток, Африка и Азия",中东、非洲与亚洲, الشرق الأوسط وأفريقيا وآسيا,carry-forward-review,needs-review
90,Testimonials,TestimonialsSection.tsx,marquee,Industry Leaders We Serve Alongside,Auto-expanded acronyms/loanwords — native review required,Branchenführer an unserer Seite,Leaders sectoriels à nos côtés,Líderes del sector a nuestro lado,Líderes do setor ao nosso lado,Отраслевые лидеры рядом с нами,我们服务的行业领导者,قادة الصناعة الذين نخدم إلى جانبهم,carry-forward-review,needs-review
91,Testimonials,TestimonialsSection.tsx,alt_template,{company} pharmaceutical market research case study preview,Auto-expanded acronyms/loanwords — native review required,{company} — Fallstudie Pharmaindustriemarktforschung (Vorschau),{company} — aperçu étude de cas industrie pharmaceutique,{company} — vista previa caso de estudio farmacéutico,{company} — prévia caso de estudo farmacêutico,{company} — превью фарма-кейса,{company} 医药市场研究案例预览,{company} — معاينة دراسة حالة أبحاث سوق دوائية,auto-revised,needs-review
92,Hero fallback,HeroSection.tsx,trust_strip,Trusted by,Auto-expanded acronyms/loanwords — native review required,Vertrauenswürdig bei,Recommandé par,Recomendado por,Recomendado por,Нам доверяют,深受信赖,موثوق به من,carry-forward-review,needs-review
93,Hero fallback,HeroSection.tsx,trust_stats,48 global clients · 127+ projects · 38 countries,Auto-expanded acronyms/loanwords — native review required,48 globale Kunden · 127+ Projekte · 38 Länder,48 clients mondiaux · 127+ projets · 38 pays,48 clientes globales · 127+ proyectos · 38 países,48 clientes globais · 127+ projetos · 38 países,48 клиентов · 127+ проектов · 38 стран,四十八家全球客户 · 一百二十七+项目 · 三十八个国家,٤٨ عميلاً عالمياً · ١٢٧+ مشروعاً · ٣٨ دولة,carry-forward-review,needs-review
94,Video embed,ProofVideoEmbed.tsx,label,Transcript,Auto-expanded acronyms/loanwords — native review required,Transkript,Transcription,Transcripción,Transcrição,Транскрипт,文字稿,النص,carry-forward-review,needs-review
